Country,tenure_mode,year,value
Hungary,Rent (subsidized),2020,3.5055648535490036
Hungary,Rent (subsidized),2021,NA
Hungary,"Other, unknown",2010,5.675482004880905
Hungary,"Other, unknown",2011,4.971088469028473
Hungary,"Other, unknown",2012,4.013779014348984
Hungary,"Other, unknown",2013,4.683072119951248
Hungary,"Other, unknown",2014,4.947168380022049
Hungary,"Other, unknown",2015,8.381202816963196
Hungary,"Other, unknown",2016,5.772766098380089
Hungary,"Other, unknown",2017,6.088332459330559
Hungary,"Other, unknown",2018,6.279278546571732
Hungary,"Other, unknown",2019,1.2797370553016663
Hungary,"Other, unknown",2020,0.9644517675042152
Hungary,"Other, unknown",2021,NA
Iceland,Own outright,2010,15.968996286392212
Iceland,Own outright,2011,17.56296306848526
Iceland,Own outright,2012,17.44137406349182
Iceland,Own outright,2013,17.55647361278534
Iceland,Own outright,2014,18.921568989753723
Iceland,Own outright,2015,18.204662203788757
Iceland,Own outright,2016,17.87562519311905
Iceland,Own outright,2017,NA
Iceland,Own outright,2018,18.669071793556213
Iceland,Own outright,2019,NA
Iceland,Own outright,2020,NA
Iceland,Own outright,2021,NA
Iceland,Owner with mortgage,2010,59.397149085998535
Iceland,Owner with mortgage,2011,54.507988691329956
Iceland,Owner with mortgage,2012,54.45011258125305
Iceland,Owner with mortgage,2013,55.23413419723511
Iceland,Owner with mortgage,2014,55.063605308532715
Iceland,Owner with mortgage,2015,54.61582541465759
Iceland,Owner with mortgage,2016,55.53869009017944
Iceland,Owner with mortgage,2017,NA
Iceland,Owner with mortgage,2018,48.58235716819763
Iceland,Owner with mortgage,2019,NA
Iceland,Owner with mortgage,2020,NA
Iceland,Owner with mortgage,2021,NA
Iceland,Rent (private),2010,13.749648630619049
Iceland,Rent (private),2011,13.113473355770111
Iceland,Rent (private),2012,15.199233591556549
Iceland,Rent (private),2013,14.19343650341034
Iceland,Rent (private),2014,14.769437909126282
Iceland,Rent (private),2015,13.577793538570404
Iceland,Rent (private),2016,12.092461436986923
Iceland,Rent (private),2017,NA
Iceland,Rent (private),2018,16.65206402540207
Iceland,Rent (private),2019,NA
Iceland,Rent (private),2020,NA
Iceland,Rent (private),2021,NA
Iceland,Rent (subsidized),2010,9.068077802658081
Iceland,Rent (subsidized),2011,11.607690900564194
Iceland,Rent (subsidized),2012,10.108891129493713
Iceland,Rent (subsidized),2013,10.71527898311615
Iceland,Rent (subsidized),2014,9.862106293439865
Iceland,Rent (subsidized),2015,11.183486133813858
Iceland,Rent (subsidized),2016,12.033969908952713
Iceland,Rent (subsidized),2017,NA
Iceland,Rent (subsidized),2018,12.735652923583984
Iceland,Rent (subsidized),2019,NA
Iceland,Rent (subsidized),2020,NA
Iceland,Rent (subsidized),2021,NA
Iceland,"Other, unknown",2010,1.816127449274063
Iceland,"Other, unknown",2011,3.2078832387924194
Iceland,"Other, unknown",2012,2.8003865852952003
Iceland,"Other, unknown",2013,2.3006774485111237
Iceland,"Other, unknown",2014,1.3832799158990383
Iceland,"Other, unknown",2015,2.418234758079052
Iceland,"Other, unknown",2016,2.4592531844973564
Iceland,"Other, unknown",2017,NA
Iceland,"Other, unknown",2018,3.3608485013246536
Iceland,"Other, unknown",2019,NA
Iceland,"Other, unknown",2020,NA
Iceland,"Other, unknown",2021,NA
Ireland,Own outright,2010,43.80965530872345
Ireland,Own outright,2011,41.688352823257446
Ireland,Own outright,2012,40.98263382911682
Ireland,Own outright,2013,41.422754526138306
Ireland,Own outright,2014,41.138142347335815
Ireland,Own outright,2015,43.90610158443451
Ireland,Own outright,2016,45.70688605308533
Ireland,Own outright,2017,45.525071024894714
Ireland,Own outright,2018,45.38818299770355
Ireland,Own outright,2019,44.64990496635437
Ireland,Own outright,2020,41.085731983184814
Ireland,Own outright,2021,NA
Ireland,Owner with mortgage,2010,29.136544466018677
Ireland,Owner with mortgage,2011,28.749728202819824
Ireland,Owner with mortgage,2012,28.479358553886414
Ireland,Owner with mortgage,2013,28.96600067615509
Ireland,Owner with mortgage,2014,28.25155258178711
Ireland,Owner with mortgage,2015,26.95370614528656
